name,full_text,protasis,apodosis,witnesses,animal
"""32.A.88""",If a man unwittingly steps on a lizard but does not kill it – that man will acquire gain.,If a man unwittingly steps on a lizard but does not kill it,that man will acquire gain.,['VAT  10167'],lizard
"""32.A.89""","If a man, while walking in the street, sees a lizard giving birth – he will have claim to substantial goods.","If a man, while walking in the street, sees a lizard giving birth ",he will have claim to substantial goods.,['VAT  10167'],lizard
"""32.A.90""","If a man, while walking in the street, sees ditto = a lizard vomit – that man will acquire riches.","If a man, while walking in the street, sees ditto = a lizard vomit ",that man will acquire riches.,"['VAT 09793', 'VAT 09793', 'VAT  10167', 'VAT  10167']",lizard
"""32.A.39""",If a lizard falls into an oven and burns up – that house will be deprived of income.,If a lizard falls into an oven and burns up,that house will be deprived of income.,['VAT 10167'],lizard
"""32.A.40""","If a lizard falls into an oven, but doesn't burn up – he will incur losses.","If a lizard falls into an oven, but doesn't burn up ",he will incur losses.,['VAT  10167'],lizard
"""32.A.36""",If a lizard falls falls into the fire in a brazier and burns up – a person doomed to death will die.,If a lizard falls falls into the fire in a brazier and burns up,a person doomed to death will die.,['VAT 10167'],lizard
"""32.A.37""",If a lizard falls onto a torch and burns up – that house will go to ruin.,If a lizard falls onto a torch and burns up,that house will go to ruin.,['VAT 10167'],lizard
"""32.A.38""",If a lizard falls into an oven and gets out – uprising of the male and female slaves.,If a lizard falls into an oven and gets out,uprising of the male and female slaves.,['VAT 10167'],lizard
"""32.A.30""",If a lizard climbs onto a man's bed – there will be a positive oracle,If a lizard climbs onto a man's bed,there will be a positive oracle,['VAT 10167'],lizard
"""32.A.31""",If a lizard climbs onto a man's bed and lies down – he won't have children lit: he won't see children.,If a lizard climbs onto a man's bed and lies down,he won't have children lit: he won't see children.,['VAT 10167'],lizard
"""32.A.32""",If a lizard enters under a man's bed and lies down – he will be happy,If a lizard enters under a man's bed and lies down,he will be happy,['VAT 10167'],lizard
"""23.93""",If a snake dies in a man’s house – the master of that house will die.,If a snake dies in a man’s house,the master of that house will die.,"['A 0453+', 'BM 041232', 'BM 041232', 'K 02925+', 'VAT 10481+.2']",snake
